Text,Annotation-1,Annotation-2,Annotation-3,Majority-Frame
"Isang umano’y tinaguriang ‘shabu queen’ at lider ng sindikato sa ilegal na droga ang dinakip makaraang masabat dito ang mahigit sa P500,000 halaga ng pinaniniwalaang shabu sa buy-bust operation sa Lucena, Quezon nitong Martes.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Anthrax infection kumalat sa Cagayan,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
TESDA: Mga tech-voc graduate swak sa trabaho,2. Capacity and Resources,10. Quality of Life,10. Quality of Life,10. Quality of Life
Nagkamit ng unang pwesto ang isang Filipina student sa Amerika sa nagdaang English-Speaking Union (ESU) Kansas City Branch,15. Other,15. Other,15. Other,15. Other
NEDA inaprub tapyas taripa sa e-vehicle,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
Apat na pahinante ng isang tugboat ang nasagip ng mga tauhan ng Philippine Coast Guard (PCG) matapos itong lumubog malapit sa pier sa Surigao Del Norte kahapon nang umaga.,9. Health and Safety,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety
"Tinaas ng US State Department ang processing fees para sa mga non-immigrant visas, ayon sa anunsiyo ng US Embassy sa Maynila nitong Huwebes.",14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
Patuloy na ipatutupad ng Archdiocese of Manila ang pagsout ng face mask sa loob ng mga simbahan.,9. Health and Safety,9. Health and Safety,"7. Law and Order, Crime and Justice",9. Health and Safety
Army corporal dedbol sa Cotabato ambush,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bumagsak ang isang trainer aircraft ng Philippine Air Force (PAF) habang nagsasagawa ng standard training flight ang dalawang piloto nito sa San Fernando Air Base sa Lipa City, Batangas noong Lunes.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Kinarnap ng ‘di pa nakikilalang mga suspek ang vintage sports utility vehicle (SUV) ni Khalil Ramos.,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Ultra Lotto jackpot, mailap",15. Other,15. Other,15. Other,15. Other
Wala pa ring nakakakuha sa halos P166 milyon na jackpot prize sa Ultra Lotto 6/58.,15. Other,15. Other,15. Other,15. Other
"Sikyo na umastang lespu, huli sa boga","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
IMINUNGKAHI kay Pangulong Ferdinand “Bongbong” Marcos Jr. ang mas maagang pasok ng mga kawani ng gobyerno upang makatipid sa konsumo ng enerhiya.,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation,6. Policy Prescription and Evaluation
"KMU, Bayan burado sa FB",13. Political,13. Political,15. Other,13. Political
Hiniling ng isang senador sa Movie and Television Review and Classification Board (MTRCB) na ipagbawal ang pagpapalabas ng Hollywood film ‘Plane’ sa Pilipinas dahil ipinapakita umano rito ang masamang imahen ng bansa.,11. Cultural Identity,6. Policy Prescription and Evaluation,13. Political,False
Speaker Romualdez pinakakasa kahandaan sa ‘The big one’,9. Health and Safety,6. Policy Prescription and Evaluation,9. Health and Safety,9. Health and Safety
"Todas ang isang 60-anyos na barangay chairman matapos itong ratratin ng hindi pa nakikilalang mga salarin sa  Lipa City, Batangas nitong Linggo ng madaling-araw.","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bunsod ng matagal nang malabo ang tubig dala ng amihan, nagpatupad ng water service interruption ang Maynilad Water Service Incorporated sa limang barangay sa Parañaque City.",2. Capacity and Resources,2. Capacity and Resources,10. Quality of Life,2. Capacity and Resources
Umaabot sa pitong dump truck o katumbas na 24.2 tonelada ng mga basurang iniwan sa mga sementeryo sa Metro Manila ang nahakot ng Metropolitan Manila Development Authority (MMDA).,9. Health and Safety,10. Quality of Life,10. Quality of Life,10. Quality of Life
"Dalaga rumaket na delivery girl, tiklo sa P14M shabu","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Itinanghal ang Pilipinas bilang Best Dive Destination ng Diving, Resort, and Travel (DRT), isang international diving exhibition na naglalayong magbigay pagkilala, suporta, at paghikayat sa mga tao na maging passionate divers.",11. Cultural Identity,15. Other,15. Other,15. Other
Muling inalarma ng Philippine Institute of Volcanology and Seismology (Phivolcs) ang mga residente sa paligid ng Bulkang Taal sa Batangas matapos itong yumanig ng 136 beses sa loob ng nakalipas na 24 oras.,9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Umaasa si Pangulong Ferdinand Marcos Jr. na magpapatuloy ang China sa paglalagak ng puhunan sa Pilipinas sa pamamagitan ng government-to-government cooperation at trade at infrastructure programs sa pamamagitan ng pribadong sektor.,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation,14. External Regulation and Reputation
BBM: Pananalig panabla sa unos ng buhay,3. Morality,3. Morality,3. Morality,3. Morality
"Pinalagan ng isang bahagi ng ‘Eat Bulaga’ ang mga naging pahayag ni Bullet Jalosjos, tumatayo ngayong chief finance officer ng TAPE Inc.",15. Other,15. Other,13. Political,15. Other
Speaker Romualdez magbibigay ng ayuda para sa Turkey quake,14. External Regulation and Reputation,14. External Regulation and Reputation,13. Political,14. External Regulation and Reputation
"Sakit sa puso, stroke, at kanser ang naging sanhi ng kamatayan ng halos kalahati sa mga taong pumanaw sa bansa mula Enero hanggang Nobyembre 2022.",9. Health and Safety,9. Health and Safety,9. Health and Safety,9. Health and Safety
Pulis timbog sa STL bookies,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
Inamin ni Senate President Juan Miguel Zubiri na inimbitahan siya ni Pangulong Ferdinand “Bongbong” Marcos Jr. na sumama sa biyahe sa Estados Unidos para sa pakikipag-usap kay President Joe Biden pero tinanggihan niya ito.,13. Political,13. Political,13. Political,13. Political
"Sa wakas, aayusin na Lagusnilad underpass",6. Policy Prescription and Evaluation,2. Capacity and Resources,9. Health and Safety,False
Foreman ninakawan na pinatay pa,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice",6. Policy Prescription and Evaluation,"7. Law and Order, Crime and Justice"
DOTR Usec dinikdik ng Kongreso sa P50M kontrata,13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
2 pulis sa dinukot na e-sabong agent lumutang,"7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Bato binawi contempt sa 6 pulis, pinalaya","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
"Suspek sa tsinuging beauty specialist, tukoy na","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice","7. Law and Order, Crime and Justice"
De Lima inurot na kasuhan si Ragos,13. Political,"7. Law and Order, Crime and Justice",13. Political,13. Political
