text,code_frames,label
MIAA inks deal with GrabFood for fast delivery during disruptions,2,1
"Senators: Make venue owners, schools liable for hazing deaths",7,6
CSC promotes use of PH tropical fabrics for gov’t uniforms,11,10
CCC sees need to enhance partnership with DA for agri ventures,2,1
P17.7-B allocated to support PH tourism infra dev’t - DBM,1,0
"MANILA, Philippines – On the steps of the building where, as a young child, he once waited for his father so they could go home together, Ferdinand Romualdez Marcos Jr. took his oath at noon of June 30, 2022 as the 17th president of the Republic.",13,12
De Lima camp to file bail ‘soon’,7,6
"Pangilinan uses Senate experience, Robredo’s VP example in Comelec debate",13,12
The Manila International Airport Authority (MIAA) did not monitor passenger congestion at the terminals of the Ninoy Aquino International Airport (NAIA) on Wednesday despite the anticipated exodus of travelers for Holy Week.,9,8
KLABARZON partners with DOST to boost Region 4A economic growth,1,0
"The rescue of a damaged Chinese ship with seven crew members on Friday off Guiuan, Eastern Samar, has prompted an investigation by the Philippine authorities on how the ship ended up in the country's territorial waters.",7,6
"MANILA, Philippines – Supporters of aspiring president and Vice President Leni Robredo  against a doctor who claimed that the supporters were paid cash to join a caravan supporting Robredo in Marikina in October 2021.",13,12
"ILOCOS SUR, Philippines – Media organizations in Southeast Asia called on presumptive president Ferdinand “Bongbong” Marcos Jr. to ensure press freedom and the protection of media workers in the Philippines.",4,3
MANILA – Department of Social Welfare and Development (DSWD) Secretary Rex Gatchalian on Tuesday presided over a video call meeting with the different field offices (FOs) to check on the preparedness of the regional directors and other concerned officials for the El Niño phenomenon.,9,8
"Senator Christopher “Bong” Go renewed his push for the passage of his very own Senate Bill (SB) No.1191, which seeks to provide a Magna Carta for Seafarers.",6,5
The Bureau of Immigration urged Ninoy Aquino International Airport (NAIA) officials to investigate an airline employee's possible involvement in the trafficking and illegal recruitment of passengers.,7,6
PBBM to study calls to delay jeepney phaseout plan,6,5
MANILA – The Manila Cathedral has announced that its new head will be installed next month.,3,2
"One of the three representatives of the ACT-CIS party-list to the House of Representatives has resigned, House Majority Leader Mannix Dalipe announced at Wednesday’s plenary session.",13,12
MANILA – Two police officers from Philippine National Police-Drug Enforcement Group (PDEG) have so far filed for a leave of absence pending investigation of the case of a police sergeant who yielded 990 kilograms of shabu worth PHP6.7 billion in an operation in Manila last year.,7,6
"The Philippines and the United States have scheduled two iterations of its newly revived joint exercise Cope Thunder for 2023, the Philippine Air Force (PAF) said Tuesday.",14,13
PNP to roll out nationwide security dialogues with media,8,7
"Despite Covid case uptick, solon wants eTravel requirement ditched",6,5
Duterte signs law raising age of sexual consent to 16,6,5
"As Holy Week nears, the Department of Agriculture-Bureau of Fisheries and Aquatic Resources (DA-BFAR) said the price for fish products is expected to increase as demand goes up.",1,0
"Devotees will celebrate on Saturday, May 6, the feast day of Saint Dominic (San Domingo) Savio, the revered patron saint of teenagers and choirboys.",3,2
"WASHINGTON, D.C.—The United States did not ask the Philippines to send military troops should a war ensue amid the rising tensions over Taiwan.",14,13
Supreme Court rules in favor of illegally dismissed Lazada riders,5,4
"MANILA – The House Committee on Basic Education and Culture on Wednesday agreed on the proposed merging of subjects in the Kinder to Grade 3 (K-3) curriculum, saying it may result in exponential learning growth of learners.  In the Laging Handa public briefing, House Committee on Basic Education and Culture chairperson Rep. Roman Romulo said this will mean more time and opportunity to focus on “functional literacy.” “Agree po ako fully doon sa bagong [proposal], alam niyo po matagal na po naming sinasabi, pagdating sa Grades 1 to 3, kailangan nating bawasan ang subject. Kailangan pong mag-focus tayo sa functional literacy at sa reading, reading, reading, at sa mathematics (I fully agree with the new proposal, you know, we have been saying that for so long that when  to Grades 1 to 3, we need to reduce the subjects. We need to focus on functional literacy and reading, reading, reading, and mathematics),” he said.  The Department of Education (DepEd) earlier proposed a draft intending to merge Araling Panlipunan (social studies) and the Music, Arts, Physical Education and Health (MAPEH) which shall be called Sibika, Kultura, Kasaysayan at Kagalingang Pangkatawan (SIKaP).",10,9
"Fellow governors, Negros leaders condemn Degamo murder, ‘deplorable attacks’ on local officials",7,6
A Commission on Appointments  on Wednesday  the plenary confirmation of the ad interim appointment of Alfredo Pascual as secretary of the Department of Trade and Industry (DTI).,13,12
PNR eyes alternative transpo for riders during 5-year stop operations —exec,2,1
The Department of Information and Communications Technology’s Cybersecurity Bureau advised Filipinos to only transact with online sellers within legitimate  platforms or online stores to ensure their safety.,8,7
Comelec allows LTFRB to resume fuel subsidy program,2,1
SSS gives benefits to family of slain OFW in Kuwait,10,9
The Senate Committee on Public Order and Dangerous Drugs on Wednesday cited in contempt a police officer who is being linked to an assassination attempt in Dumaguete for his apparent failure to answer their questions.,7,6
‘Balikatan’ centers on 4 major drills; lightning rally mars opening day,8,7
Robredo tells De Lima: We keep faith that truth will prevail in the end,3,2
"MANILA – The country’s daily average of new coronavirus disease 2019 (Covid-19) cases went up by 33 percent from March 27 to April 2, the Department of Health (DOH) reported Monday.",9,8
"The New People’s Army (NPA) units in Western and Central Visayas are now “leaderless” following the death of an alleged  rebel in an armed encounter in Negros Occidental recently, the military said Sunday, April 23.",13,12
"As Filipinos, particularly Catholics, go on vacation in light of the Holy Week, the Presidential Communications Office (PCO) shared tips to help the public stay safe amid the Lenten season.",9,8
Gov't contingency plans in place for 7-day transport strike,10,9
"MANILA – The Commission on Elections (Comelec) on Monday said it has printed over 50 percent of the more than 90 million officials' ballots for the Barangay and Sangguniang Kabataan Elections (BSKE), with over eight months before the polls.",13,12
Senator Robin Padilla has filed a bill legalizing the civil effects of annulments filed before the church or other religious sects.,6,5
President Ferdinand “Bongbong” Marcos Jr. has signed an executive order creating the Water Resources Management Office (WRMO) to integrate and harmonize government efforts that will manage Philippine water resources and ensure water supply.,2,1
DOJ to file kidnap charges vs 3 cops in missing sabungero case in Laguna,7,6
Onion coop head says DA personnel in cahoots with trader in hoarding onion supply,7,6
PH crime rate down 11.36% in first 4 months of 2023,7,6
"PH continuously helping quake-hit Türkiye, Syria: Marcos",14,13
"MANILA, Philippines – The second alleged middleman in the killing of Percival “Percy Lapid” Mabasa denied knowing self-confessed gunman Joel Escorial.",7,6
Police identify one of gunmen in Degamo slay,7,6
"DILG, BFP warn public as fire incidents surge nearly 40% in April",9,8
"MANILA – The country’s daily average of new coronavirus disease 2019 (Covid-19) cases decreased by 19 percent from Feb. 13 to 19, the Department of Health (DOH) reported Monday.",9,8
"COVID-19 cases shoot up by 82%, unvaccinated urged to get jabbed immediately",9,8
"DILG orders PNP to review policy on arms' issuance, license",8,7
The Senate Public Order and Dangerous Drugs Committee has  the operation of Philippine Offshore Gaming Operators (POGOs) in a controlled area similar to economic zones.,6,5
6 EDCA projects with US to be completed in 2023 —Manalo,14,13
BI assures public of sufficient manpower during summer season,2,1
"The recent development in the West Philippine Sea (WPS) was one of the bilateral and global issues raised during the courtesy call of United States Undersecretary of State for Political Affairs Victoria Nuland to Secretary Enrique Manalo, the Department of Foreign Affairs (DFA) said Wednesday.",14,13
"Following the overpriced laptop fiasco, the Department of Education (DepEd) on Wednesday said that it will investigate another allegation claiming that the agency purchased overpriced cameras in 2019.",7,6
"MANILA, Philippines – Senator Risa Hontiveros, the reelected chairperson of the  on women, children, family relations and gender equality, continues to act on the reported child abuses of young children in various social media platforms.",13,12
