Statement,Link,Date
"Bagyong Betty nakapasok na sa bansa, ‘Signal no. 1’ posibleng itaas sa Northern Luzon –PAGASA",https://bandera.inquirer.net/351128/bagyong-betty-nakapasok-na-sa-bansa-signal-no-1-posibleng-itaas-sa-northern-luzon-pagasa,"May 27, 2023"
Super Typhoon lalo pang lalakas habang papalapit ng bansa –PAGASA,https://bandera.inquirer.net/351086/super-typhoon-lalo-pang-lalakas-habang-papalapit-ng-bansa-pagasa,"May 26, 2023"
"Super Typhoon papasok na sa Biyernes o Sabado, ‘Warning Signals’ posibleng itaas sa 3 probinsya –PAGASA",https://bandera.inquirer.net/350979/super-typhoon-papasok-na-sa-biyernes-o-sabado-warning-signals-posibleng-itaas-sa-3-probinsya-pagasa,"May 25, 2023"
"7 sugatan, P300M halaga ng pinsala sa nasunog na Manila Central Post Office – BFP",https://bandera.inquirer.net/350685/7-sugatan-p300m-halaga-ng-pinsala-sa-nasunog-na-manila-central-post-office-bfp,"May 22, 2023"
"BSP nagbabala sa modus na ‘sangla-ATM’, mga mga cardholder posibleng maloko sa ‘withdrawal’",https://bandera.inquirer.net/350576/bsp-nagbabala-sa-modus-na-sangla-atm-mga-mga-cardholder-posibleng-maloko-sa-withdrawal,"May 21, 2023"
PAGASA: ‘Ang pagpasok ng bagyo ay posibleng hudyat ng pagsisimula ng panahon ng tag-ulan’,https://bandera.inquirer.net/350539/pagasa-ang-pagpasok-ng-bagyo-ay-posibleng-hudyat-ng-pagsisimula-ng-panahon-ng-tag-ulan,"May 21, 2023"
"Bagyo posibleng pumasok ng bansa sa mga susunod na araw, ‘tag-ulan’ malapit na –PAGASA",https://bandera.inquirer.net/350406/bagyo-posibleng-pumasok-ng-bansa-sa-mga-susunod-na-araw-tag-ulan-malapit-na-pagasa,"May 20, 2023"
Pagsusuot ng face mask ‘required’ na ulit sa Baguio City,https://bandera.inquirer.net/350198/pagsusuot-ng-face-mask-required-na-ulit-sa-baguio-city,"May 17, 2023"
"Sanggol patay matapos banlian ng kumukulong tubig, suspek arestado",https://bandera.inquirer.net/350188/sanggol-patay-matapos-banlian-ng-kumukulong-tubig-suspek-arestado,"May 17, 2023"
PAGASA: Heat index sa 13 na lugar umabot na sa ‘danger’ level,https://bandera.inquirer.net/349936/pagasa-heat-index-sa-13-na-lugar-umabot-na-sa-danger-level,"May 15, 2023"
"NAIA nagtala ng 1.6-M international passengers, pinakamarami mula nang magkapandemya",https://bandera.inquirer.net/349913/naia-nagtala-ng-1-6-m-international-passengers-pinakamarami-mula-nang-magkapandemya,"May 15, 2023"
Meralco nagtaas ng singil sa kuryente ngayong Mayo,https://bandera.inquirer.net/349690/meralco-nagtaas-ng-singil-sa-kuryente-ngayong-mayo,"May 13, 2023"
Leila de Lima ‘not guilty’ sa pangalawang kaso ng ilegal na droga,https://bandera.inquirer.net/349624/leila-de-lima-not-guilty-sa-pangalawang-kaso-ng-ilegal-na-droga,"May 12, 2023"
"‘Cybertheft’ umano sa GCash iniimbestigahan, umabot nga ba sa P37-M ang nanakaw?",https://bandera.inquirer.net/349564/cybertheft-umano-sa-gcash-iniimbestigahan-umabot-nga-ba-sa-p37-m-ang-nanakaw,"May 11, 2023"
‘Fishing ban’ sa Oriental Mindoro inalis na sa 7 bayan,https://bandera.inquirer.net/349296/fishing-ban-sa-oriental-mindoro-inalis-na-sa-7-bayan,"May 08, 2023"
"P1,000 polymer bill ng Pinas kinilalang ‘Bank Note of the Year’",https://bandera.inquirer.net/349180/p1000-polymer-bill-ng-pinas-kinilalang-bank-note-of-the-year,"May 07, 2023"
"King Charles nakoronahan na, PBBM inaming kilala ang hari: ‘I’ve known him when he was still a prince’",https://bandera.inquirer.net/349118/king-charles-nakoronahan-na-pbbm-inaming-kilala-ang-hari-ive-known-him-when-he-was-still-prince,"May 07, 2023"
COVID-19 hindi na itinuturing ‘global health emergency’ –WHO,https://bandera.inquirer.net/349030/covid-19-hindi-na-itinuturing-global-health-emergency-who,"May 06, 2023"
2 LPA ang inaasahang magpapaulan sa bansa –PAGASA,https://bandera.inquirer.net/349014/2-lpa-ang-inaasahang-magpapaulan-sa-bansa-pagasa,"May 06, 2023"
"‘Joey de Leon’ arestado dahil sa droga, pang-6 sa ‘most wanted person’ sa QC",https://bandera.inquirer.net/348961/joey-de-leon-arestado-dahil-sa-droga-pang-6-sa-most-wanted-person-sa-qc,"May 05, 2023"
"OCTA: COVID-19 positivity rate sa bansa tumaas pa, Metro Manila lumobo na sa 19.7%",https://bandera.inquirer.net/348951/octa-covid-19-positivity-rate-sa-bansa-tumaas-pa-metro-manila-lumobo-na-sa-19-7,"May 05, 2023"
"PAGASA: LPA mataas ang tsansa na maging bagyo, tatawaging ‘Betty’",https://bandera.inquirer.net/348861/pagasa-lpa-mataas-ang-tsansa-na-maging-bagyo-tatawaging-betty,"May 04, 2023"
"COVID-19 positivity rate sa NCR sumipa sa 14.3%, sey ni PBBM: Posibleng ibalik ang ‘mandatory’ na pagsusuot ng face mask",https://bandera.inquirer.net/348541/covid-19-positivity-rate-sa-ncr-sumipa-sa-14-3-sey-ni-pbbm-posibleng-ibalik-ang-mandatory-na-pagsusuot-ng-face-mask,"May 01, 2023"
Pag-aaral: Malacañang pang-15 sa ‘largest official residence’ sa buong mundo,https://bandera.inquirer.net/348435/pag-aaral-malacanang-pang-15-sa-largest-official-residence-sa-buong-mundo,"April 30, 2023"
"Mga manggagawa may ‘libreng sakay’ sa LRT-2, MRT-3 ngayong May 1",https://bandera.inquirer.net/348430/mga-manggagawa-may-libreng-sakay-sa-lrt-2-mrt-3-ngayong-may-1,"April 30, 2023"
PAGASA: 10 hanggang 14 na bagyo ang aasahan sa bansa ngayong taon,https://bandera.inquirer.net/348413/pagasa-10-hanggang-14-na-bagyo-ang-aasahan-sa-bansa-ngayong-taon,"April 30, 2023"
"MMDA: Ilang kalsada sa Metro Manila isinara na muna, aayusin hanggang May 2",https://bandera.inquirer.net/348293/mmda-ilang-kalsada-sa-metro-manila-isinara-na-muna-aayusin-hanggang-may-2,"April 29, 2023"
"DOLE maglulunsad ng ‘job fair’ sa Labor Day, may alok na mahigit 73,000 na trabaho",https://bandera.inquirer.net/348264/dole-maglulunsad-ng-job-fair-sa-labor-day-may-alok-na-mahigit-73000-na-trabaho,"April 29, 2023"
"Unang kaso ng ‘Arcturus’ naitala sa Western Visayas, pasyente gumaling na –DOH",https://bandera.inquirer.net/348117/unang-kaso-ng-arcturus-naitala-sa-western-visayas-pasyente-gumaling-na-doh,"April 27, 2023"
"COVID-19 Alert Level 2 itinaas sa 26 na lugar, Metro Manila nasa Alert Level 1 –IATF",https://bandera.inquirer.net/347735/covid-19-alert-level-2-itinaas-sa-26-na-lugar-metro-manila-nasa-alert-level-1-iatf,"April 24, 2023"
Rehistro ng mga bagong motor bibigyan na ng ‘3 years validity’ – LTO,https://bandera.inquirer.net/347732/rehistro-ng-mga-bagong-motor-bibigyan-na-ng-3-years-validity-lto,"April 24, 2023"
DepEd pinapayagan ang mga eskwelahan na magsuspinde ng klase dahil sa init,https://bandera.inquirer.net/347605/deped-pinapayagan-ang-mga-eskwelahan-na-magsuspinde-ng-klase-dahil-sa-init,"April 23, 2023"
"LTO: Driver’s license na mae-expire simula April 24 palalawigin, multa sa ‘late penalty’ ‘di muna sisingilin",https://bandera.inquirer.net/347600/lto-drivers-license-na-mae-expire-simula-april-24-palalawigin-multa-sa-late-penalty-di-muna-sisingilin,"April 23, 2023"
"Malacañang may pa-concert kada 3 buwan, ang unang pagtatanghal ‘dedicated’ sa AFP",https://bandera.inquirer.net/347485/malacanang-may-pa-concert-kada-3-buwan-ang-unang-pagtatanghal-dedicated-sa-afp,"April 22, 2023"
DICT ‘nagmatigas’ sa deadline ng SIM registration: Hindi na pwedeng ma-extend ang pagpaparehistro,https://bandera.inquirer.net/347414/dict-nagmatigas-sa-deadline-ng-sim-registration-hindi-na-pwedeng-ma-extend-ang-pagpaparehistro,"April 21, 2023"
Ex-DFA Chief Albert del Rosario pumanaw na sa edad 83,https://bandera.inquirer.net/347150/ex-dfa-chief-albert-del-rosario-pumanaw-na-sa-edad-83,"April 18, 2023"
"Maynilad: Ilang bahagi ng NCR, Cavite mawawalan ng tubig hanggang April 23",https://bandera.inquirer.net/347073/maynilad-ilang-bahagi-ng-ncr-cavite-mawawalan-ng-tubig-hanggang-april-23,"April 17, 2023"
Driver’s license holders ‘di na sasailalim sa ‘periodic medical exam’ –LTO,https://bandera.inquirer.net/347061/drivers-license-holders-di-na-sasailalim-sa-periodic-medical-exam-lto,"April 17, 2023"
Mga sakit sa puso pangunahing dahilan ng pagkamatay sa Pilipinas –PSA,https://bandera.inquirer.net/346953/mga-sakit-sa-puso-pangunahing-dahilan-ng-pagkamatay-sa-pilipinas-psa,"April 16, 2023"
9 tips para makatipid ng tubig sa panahon ng tag-init,https://bandera.inquirer.net/346942/9-tips-para-makatipid-ng-tubig-sa-panahon-ng-tag-init,"April 16, 2023"
April 21 idineklarang ‘regular holiday’ bilang pagdiriwang ng Eid’l Fitr,https://bandera.inquirer.net/346927/april-21-idineklarang-regular-holiday-bilang-pagdiriwang-ng-eidl-fitr,"April 16, 2023"
