text,code_frames,label
"Kagawad, isa pa dedbol, tserman kritikal sa tsekot na bumaligtad",9,8
"Suwerte para sa isang magdyowa mula sa North Yorkshire, England ang kanilang bagong bahay dahil sa nadiskubre nilang mga gintong barya na napag-alamang nagkakahalaga sa kabuuan ng $800,000.",15,14
"Isang limang-taong gulang na batang lalaki ang nasawi matapos itong aksidenteng mahulog sa tricab na minamaneho ng kanyang ama noong Martes sa El Salvador City, Misamis Oriental.",9,8
"10 pumuga sa Pasay, balik-selda na lahat",7,6
Senegalese tiklo sa pekeng passport,7,6
SINISILIP ng Philippine National Police (PNP) ang posibilidad ng isang pattern sa nangyayaring atake laban sa mga elected government officials.,7,6
"Kalaboso ang isang 27-anyos na tsuper na kabilang sa hanay ng mga high-value individual sa ilegal na droga nang makalawit ito sa buy-bust operation at makumpiskahan ng higit P500,000 halaga ng hinihinalang shabu sa Tacloban City, Leyte.",7,6
"Pinasalamatan ng United Filipino Consumers and Commuters (UFCC) ang Department of Energy (DOE), Energy Regulatory Commission (ERC) at Department of Social Welfare and Development (DSWD) sa paglagda ng Implementing Rules and Regulations (IRR) ng Republic Act No. 11552.",6,5
Isa pang suspek sa Tau Gamma hazing sumuko,7,6
Anim katao na ang kumpirmadong nasawi sa pangalawang malakas na pagyanig na naranasan sa Turkey at Syria nitong Lunes.,9,8
Itinampok ng Italian writer na si Marianna Tognini ang isang Pinoy resto para sa food and lifestyle column ng sikat na magazine sa Italy na Rolling Stone Italia.,11,10
Gusto na ngayong panoorin ni Senador Robin Padilla ang Hollywood film na ‘Plane’ na pinagbibidahan ni Gerard Butler matapos katayin ang mga eksenang inaangalan nito.,15,14
Ginawa na ng Grab Philippines ang mga hakbang upang agad makatupad sa direktiba ng Philippine Competition Commission (PCC) na ipabatid sa mga pasahero na hindi pa nakakakuha ng refund na maaaring makolekta sa iba’t ibang paraan.,6,5
Bumaba ang budget deficit ng bansa nang halos 3.71% ngayong Nobyembre batay sa naitala ng Bureau of Treasury (BTr).,1,0
Marisol sa Batasan promotor ng kudeta,8,7
Suko na ang Metropolitan Waterworks and Sewerage System (MWSS) sa kalidad ng tubig sa Laguna Lake kaya magpapa-saklolo ito sa Singaporean counterpart para solusyunan ang problemang ito.,2,1
Namukadkad sa kakalsadahan sa Baguio City ang 24 float na nakilahok sa Grand Float Parade kasabay ng pagdaraos ng Panagbenga Festival sa City of Pines kamakalawa.,11,10
"Nasawi matapos malunod sa creek ang isang menor de edad na lalaki nang utusan ito ng kanyang ina na bumili sa tindahan sa Brgy. Canda Ibaba, Lopez, Quezon nitong Martes ng umaga.",9,8
Posibleng hindi na bawasan ng mga senador ang P4.5 bilyon na panukalang confidential and intelligence fund (CIF) ng Office of the President (OP) sa oras na amiyendahan ng Senado ang P5.268 trilyon General Appropriations Bill (GAB) para sa 2023.,13,12
Indonesia lindol: 5-anyos nahukay sa gumuhong haybol,9,8
"Buryong na marahl sa paghihigpit sa galaw ng mga tao, biglang lumabas ang mga tao sa isang lugar sa Guangzhou, China at nagsagawa ng protesta laban sa ipinatutupad na lockdown kontra COVID-19 sa naturang lungsod.",8,7
"LTFRB tumiklop, tinuloy pasada ng mga jeepney",7,6
Tulak timbog sa P13.9M shabu,7,6
"Umabot sa mahigit 3,000 residente ng Island Garden City of Samal ang nagsagawa ng malawakang kilos protesta sa tanggapan ng Northern Davao Electric Cooperative Inc. (Nordeco) sa Samal kaninang umaga dahil sa palpak na serbisyo sa lalawigan at sa nasasakupan nitong mga probinsya.",12,11
Panahon na para sipain ang mga opisyal na nangangasiwa at nagpapatakbo sa Ninoy Aquino International Airport (NAIA) upang hindi na maulit ang mga kapalpakan sa operasyon.,6,5
