,text,label,predicted_label,match,confidence
0,"Isang umano’y tinaguriang ‘shabu queen’ at lider ng sindikato sa ilegal na droga ang dinakip makaraang masabat dito ang mahigit sa P500,000 halaga ng pinaniniwalaang shabu sa buy-bust operation sa Lucena, Quezon nitong Martes.",6,6,True,0.98103565
1,Anthrax infection kumalat sa Cagayan,8,8,True,0.96782315
2,TESDA: Mga tech-voc graduate swak sa trabaho,9,1,False,0.4815697
3,Nagkamit ng unang pwesto ang isang Filipina student sa Amerika sa nagdaang English-Speaking Union (ESU) Kansas City Branch,14,13,False,0.7597778
4,NEDA inaprub tapyas taripa sa e-vehicle,5,6,False,0.61790884
5,Apat na pahinante ng isang tugboat ang nasagip ng mga tauhan ng Philippine Coast Guard (PCG) matapos itong lumubog malapit sa pier sa Surigao Del Norte kahapon nang umaga.,8,6,False,0.39904207
6,"Tinaas ng US State Department ang processing fees para sa mga non-immigrant visas, ayon sa anunsiyo ng US Embassy sa Maynila nitong Huwebes.",13,13,True,0.43847072
7,Patuloy na ipatutupad ng Archdiocese of Manila ang pagsout ng face mask sa loob ng mga simbahan.,8,2,False,0.7545245
8,Army corporal dedbol sa Cotabato ambush,6,7,False,0.93709266
9,"Bumagsak ang isang trainer aircraft ng Philippine Air Force (PAF) habang nagsasagawa ng standard training flight ang dalawang piloto nito sa San Fernando Air Base sa Lipa City, Batangas noong Lunes.",8,9,False,0.32250565
10,Kinarnap ng ‘di pa nakikilalang mga suspek ang vintage sports utility vehicle (SUV) ni Khalil Ramos.,6,6,True,0.9626367
11,"Ultra Lotto jackpot, mailap",14,14,True,0.9469511
12,Wala pa ring nakakakuha sa halos P166 milyon na jackpot prize sa Ultra Lotto 6/58.,14,14,True,0.88537437
13,"Sikyo na umastang lespu, huli sa boga",6,14,False,0.7240175
14,IMINUNGKAHI kay Pangulong Ferdinand “Bongbong” Marcos Jr. ang mas maagang pasok ng mga kawani ng gobyerno upang makatipid sa konsumo ng enerhiya.,5,1,False,0.66204095
15,"KMU, Bayan burado sa FB",12,6,False,0.47040674
16,Hiniling ng isang senador sa Movie and Television Review and Classification Board (MTRCB) na ipagbawal ang pagpapalabas ng Hollywood film ‘Plane’ sa Pilipinas dahil ipinapakita umano rito ang masamang imahen ng bansa.,5,10,False,0.2671558
17,Speaker Romualdez pinakakasa kahandaan sa ‘The big one’,8,12,False,0.96457005
18,"Todas ang isang 60-anyos na barangay chairman matapos itong ratratin ng hindi pa nakikilalang mga salarin sa  Lipa City, Batangas nitong Linggo ng madaling-araw.",6,12,False,0.80071276
19,"Bunsod ng matagal nang malabo ang tubig dala ng amihan, nagpatupad ng water service interruption ang Maynilad Water Service Incorporated sa limang barangay sa Parañaque City.",1,1,True,0.6269825
20,Umaabot sa pitong dump truck o katumbas na 24.2 tonelada ng mga basurang iniwan sa mga sementeryo sa Metro Manila ang nahakot ng Metropolitan Manila Development Authority (MMDA).,9,1,False,0.6955724
21,"Dalaga rumaket na delivery girl, tiklo sa P14M shabu",6,6,True,0.9639323
22,"Itinanghal ang Pilipinas bilang Best Dive Destination ng Diving, Resort, and Travel (DRT), isang international diving exhibition na naglalayong magbigay pagkilala, suporta, at paghikayat sa mga tao na maging passionate divers.",14,10,False,0.8994333
23,Muling inalarma ng Philippine Institute of Volcanology and Seismology (Phivolcs) ang mga residente sa paligid ng Bulkang Taal sa Batangas matapos itong yumanig ng 136 beses sa loob ng nakalipas na 24 oras.,8,8,True,0.79595715
24,Umaasa si Pangulong Ferdinand Marcos Jr. na magpapatuloy ang China sa paglalagak ng puhunan sa Pilipinas sa pamamagitan ng government-to-government cooperation at trade at infrastructure programs sa pamamagitan ng pribadong sektor.,13,13,True,0.9732646
25,BBM: Pananalig panabla sa unos ng buhay,2,9,False,0.4345476
26,"Pinalagan ng isang bahagi ng ‘Eat Bulaga’ ang mga naging pahayag ni Bullet Jalosjos, tumatayo ngayong chief finance officer ng TAPE Inc.",14,12,False,0.8486693
27,Speaker Romualdez magbibigay ng ayuda para sa Turkey quake,13,13,True,0.9102822
28,"Sakit sa puso, stroke, at kanser ang naging sanhi ng kamatayan ng halos kalahati sa mga taong pumanaw sa bansa mula Enero hanggang Nobyembre 2022.",8,8,True,0.9374419
29,Pulis timbog sa STL bookies,6,12,False,0.62908936
30,Inamin ni Senate President Juan Miguel Zubiri na inimbitahan siya ni Pangulong Ferdinand “Bongbong” Marcos Jr. na sumama sa biyahe sa Estados Unidos para sa pakikipag-usap kay President Joe Biden pero tinanggihan niya ito.,12,13,False,0.52607584
31,"Sa wakas, aayusin na Lagusnilad underpass",8,14,False,0.4846534
32,Foreman ninakawan na pinatay pa,6,14,False,0.7838776
33,DOTR Usec dinikdik ng Kongreso sa P50M kontrata,12,0,False,0.64091295
34,2 pulis sa dinukot na e-sabong agent lumutang,6,6,True,0.971846
35,"Bato binawi contempt sa 6 pulis, pinalaya",6,6,True,0.958755
36,"Suspek sa tsinuging beauty specialist, tukoy na",6,6,True,0.9002116
37,De Lima inurot na kasuhan si Ragos,12,12,True,0.90633696
38,Labis na ikinagalak ng pamilya ni dating Chief Justice Renato Corona ang desisyon ng Sandiganbayan na nagbabasura sa P130.59 milyong forfeiture case na isinampa laban sa kanila noong 2014.,4,6,False,0.54946625
39,Pope Francis umapela ng dasal para sa dating Santo Papa,2,2,True,0.91192245
40,"Sarhento kinustodiya, boga sumambulat sa kampo",6,14,False,0.67127824
41,Iimbitahan ng  on ways and means ang mga personalidad na iniuugnay sa large-scale smuggling ng mga produktong agrikultural sa bansa.,6,6,True,0.95236164
42,Nagpaliwanag ang Maynilad Water Services Inc. kung bakit madalas magkaroon ng water interruption ang kanilang serbisyo kumpara sa Manila Water Inc.,1,1,True,0.8120591
43,Dalawa katao ang nasawi habang nasugatan ang mahigit sa 20 katao sa matapos tamaan ng missile ng Russia ang isang ospital sa Dnipro City sa Ukraine.,7,8,False,0.91282165
44,"Aabot sa 60,000 katao ang nasawi sa mga ospital sa China dahil sa coronavirus mula nang tanggalin ng gobyerno nito ang zero COVID policy noong Disyembre 2023 at niluwagan ang mga health protocol.",8,8,True,0.94301033
45,"Tulfo dudang kainumaan gabi-gabi mga sindikato: Mga smuggler dabarkads agri, customs",6,6,True,0.96184343
46,Inaasahang sisigla ang kompetisyon sa serbisyo ng internet sa bansa sa sandaling maitatag na ng Starlink ni Elon Musk ang low-orbit satellite-based internet service sa Pilipinas.,0,1,False,0.59842557
47,Kinumpirma ng pulisya sa Central Visayas na apat na mayor at dalawang vice mayor ang nanganganib umano ang buhay at balak ding iligpit kasunod ni Negros Oriental Governor Roel Dagamo.,6,6,True,0.9723612
48,"Patay ang apat na sundalo habang kritikal ang isa pa matapos mag-amok ang isa nilang kasamahan at pagbabarilin ang mga ito sa 4th Infantry Division ng Philippine Army sa Camp Evangelista sa Cagayan De Oro City, kahapon ng madaling araw.",6,6,True,0.6962385
49,Patay ang 57-anyos na dating miyembro ng Mayor’s Anti-Crime Group (MAC-G) ng Tanauan City nang barilin ito sa ulo at katawan ng hindi pa nakikilalang salarinn sa nasabing lungsod sa Batangas nitong Lunes.,6,6,True,0.9592901
50,Malapit na umano maabot ang pangarap ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. na P20 kada kilo ng bigas.,0,0,True,0.74350667
51,4 ghost firm kinasuhan sa P25B resibo scam,6,6,True,0.9638657
52,Matapos makatanggap ng reklamo mula sa ilang mangingisda sa Manila Bay sisilipin ng ACT-CIS partylist ang ongoing reclamation sa Manila Bay.,5,11,False,0.391721
53,Pinagre-report ni House Speaker Martin Romualdez sa Kongreso ang limang pulis escort ng pinaslang na gobernador na si Roel Degamo.,6,6,True,0.83576465
54,Itinuturing ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. ang exile ng kanilang buong pamilya sa Hawaii noong 1986 ang pinakamadilim na bahagi ng kanilang buhay.,12,12,True,0.3555306
55,Ex-NSA chief Carlos hugas-kamay sa listahan ng smuggler,12,6,False,0.847751
56,SMC handa sa mga biyahero ngayong Semana Santa,1,9,False,0.8359636
57,Chinese ambassador binoldyak ni Enrile sa sawsaw EDCA,13,13,True,0.6328047
58,Tinawag ni Senador Jinggoy Estrada ang mga imbestigador ng International Criminal Court (ICC) na mga puting unggoy at hindi dapat papasukin sa Pilipinas para mag-imbestiga sa drug war ng dating administrasyong Duterte.,12,12,True,0.44811064
59,Inflation bahagyang bumaba noong Pebrero,0,0,True,0.97039527
60,"MTRCB bigyan ng werpa sa mga video, online game",5,6,False,0.25442976
61,Mga isnaberong Pharma exec bibitbitin sa Senado,6,5,False,0.54117113
62,Moderna magtatayo ng planta sa ‘Pinas,1,1,True,0.35518792
63,Relationship goals: Couple sabay pumasa sa Criminology Licensure Exam,14,14,True,0.6022164
64,"Bumulagta ang isang 62-anyos na canteen owner nang bulagain siya ng dalawang suspek at targetin sa ulo sa loob ng kanyang puwesto sa Talavera, Nueva Ecija noong Lunes.",6,6,True,0.96628666
65,"Arestado ang isang magsasaka matapos itong masamsaman ng ilegal na baril at granada sa Kalamansig, Sultan Kudarat nitong Biyernes.",6,6,True,0.91172624
66,"Computer setup bumagsak, HK airport naparalisa",1,7,False,0.6738111
67,"Bilang pangako ng administrasyon ni Pangulong Ferdinand “Bongbong” Marcos Jr. na bigyan ng mataas na pagpapahalaga ang edukasyon ng mga kabataang Pilipino, naglaan ang pamahalaan ng kabuuang P138.77 bilyon para sa mga programa at inisyatibo sa Higher Education sa ilalim ng 2023 Ge­neral Appropriations Act (GAA).",1,1,True,0.49193043
68,EU firm magbubuhos ng puhunan sa ‘Pinas,13,13,True,0.95020354
69,"Eroplano ng PAF bumagsak, 2 piloto ligtas",8,8,True,0.74029267
70,"Makikilala na anumang oras sa susunod na dalawa hanggang tatlong araw ang umano’y utak sa pamamaslang sa brodkaster na si Percival Mabasa, na mas kilala bilang Percy Lapid.",6,6,True,0.5710181
71,"Uulanin ang Palawan, Bicol region, Visayas at Mindanao sa susunod na mga oras dulot ng low pressure area (LPA).",8,9,False,0.89175254
72,Pumukaw ng atensyon sa social media ang larawan ng isang estudyante na nagmamartsa habang nagle-labor sa una niyang baby.,14,10,False,0.38789338
73,Walang legal na pananagutan! DOJ kuntento sa pagtugon ng GCash vs problema sa platform,6,4,False,0.47728705
74,Ikinumpara ni Albay Rep. Edcel Lagman ang kaso ng anak ni Justice Secretary Jesus Crispin Remulla at dating Sen. Leila de Lima na kapwa nasangkot sa iligal na droga.,3,6,False,0.90284216
75,"Umakyat na sa 44 ang bilang ng mga nasawi bunsod ng epekto ng shearline phenomenon na nagpabaha sa Visayas, Mindanao at maging sa Bicol noong Pasko.",8,8,True,0.89821523
76,"Dedo ang 50-anyos na kagawad at kaibigan nito habang kritikal ang kasama nilang barangay chairman nang bumaligtad ang sinasakyan nilang kotse matapos nitong suwagin ang bakal na bakod sa kalsada ng San Mateo, Isabela kahapon nang hatinggabi.",8,6,False,0.7093353
77,"Higit sa P500,000 halaga ng umano’y shabu ang nasamsam ng mga awtoridad mula sa limang hinihinalang tulak ng ilegal na droga sa magkakahiwalay na operasyon sa Bicol nitong Sabado.",6,6,True,0.9565388
78,Pinaplantsa sa Kamara de Representantes ang panukalang electronic o internet voting para sa mga overseas Filipino.,5,5,True,0.8534519
79,Mayroon pang 90 araw ang mga subscriber para iparehistro ang kanilang mga SIM card matapos aprubahan ni Pangulong Ferdinand “Bongbong” Marcos Jr. ang extension ng registration.,5,5,True,0.7648001
80,"Tsuper na napagtapos 5 anak sa kolehiyo, pinusuan",14,6,False,0.9343536
81,2 todas sa hinuhukay na balon,8,14,False,0.81309336
82,Bebot kinatok sa haybol saka tinigok,6,14,False,0.7584995
83,"Party, tugtugan sa Bora ngayong Biyernes Santo bawal muna",2,9,False,0.40110853
84,"Bulalo, sinigang swak na best soup sa mundo",10,14,False,0.6928903
85,"Higit sa P157 milyon ang naipagkaloob ng Philippine Charity Sweepstakes Office (PCSO) para sa pagpapagamot at iba pang tulong-medikal ng higit sa 20,000 mahihirap sa bansa nitong buwan ng Enero.",1,1,True,0.50561905
86,Apektado ng oil spill pumalo sa halos 200K residente,9,9,True,0.7490757
87,"Sumirit ang inflation noong Disyembre 2022 dahil sa pagtaas sa presyo ng maraming bilihin, kabilang na ang sibuyas at iba pang gulay, ayon sa Philippine Statistics Authority (PSA).",0,0,True,0.9725582
88,"Isla sa Romblon, Batanes kinilala ng int’l travel guide",10,9,False,0.37813
89,Nakitaan ng kriminal at administratibong pananagutan ng Philippine National Police (PNP) Special Investigation Task Group (SITG) ang 47 pulis na may koneksyon sa pagkakakumpiska ng 990 kilo ng shabu na nagkakahalaga ng P6.7 bil­yon sa Maynila noong Oktubre nakaraang taon.,6,6,True,0.9682787
90,277 naputukan sa Bagong Taon salubong,8,9,False,0.45844358
91,"P90M puslit na asukal, yosi nabisto ng BOC sa 5 container van",6,6,True,0.9352263
92,Pabayang mga opisyal yari kay Tulfo! ‘Mental Hospital mabaho pa sa koral ng baboy’,8,12,False,0.81032056
93,Arestado ang isang 30-anyos na babae matapos nitong pasukin at pagnakawan ang apartment ng Hollywood actor na si Robert de Niro sa New York City kahapon ng umaga.,6,6,True,0.9381796
94,Nabisto at nahuli nang Philippine Coast Guard (PCG) ang isang barko at tatlong bangka na nagnanakaw ng diesel sa Navotas Fish Port.,6,6,True,0.9647924
95,Inihayag ni US President Joseph Biden nitong Lunes na magpapadala siya ng “first of its kind” presidential trade and investment mission sa Pilipinas.,13,13,True,0.9727171
96,Bautista todo-paliwanag sa NAIA sale,12,12,True,0.76247996
97,"Dapat nang imbestigahan at ilagay sa preventive suspension si Department of Agriculture (DA) Senior Undersecretary Domingo Panganiban dahil sa kanilang patuloy na pagtulong sa pagbuo ng isang makapangyarihang kartel sa asukal, na kanila pang ipinagmamalaki ngayon, ayon kay Senadora Risa Hontiveros.",6,6,True,0.76006377
98,"Pansamantalang isasara sa mga motorista  ang bahagi ng Maharlika highway sa Barangay San Juan, Alaminos Laguna upang bigyang daan ang konstruksyon ng TR4 project o South Luzon Expressway extension.",9,9,True,0.81349546
99,"Eroplano lumagpas sa runway, pitong pasahero 2 crew ligtas",8,8,True,0.5441231
100,Doble ang halaga ng in-import ng Pilipinas kumpara sa mga ini-export ng bansa noong Enero.,0,0,True,0.76456374
101,Mga tilapya naglutangan sa init,8,9,False,0.6520713
102,Pinoy folk dance bumida sa Hong Kong,10,10,True,0.91936207
103,"Fire volunteer, 2 pa timbog sa P3.5M drug bust",6,6,True,0.97478116
104,Mas mabuting may ginagawa ang VP kaysa wala – Escudero,12,12,True,0.9257678
105,"Bangka nagka-aberya, 72 nasagip sa trahedya",8,9,False,0.31800663
106,Nagpahayag ng pangamba si Senadora Risa Hontiveros na posibleng matakpan ang isyu ng sugar smuggling scandal ngayong itinalagang officer-in-charge (OIC) ng Sugar Regulatory Administration (SRA) si Agriculture Undersecretary Domingo Panganiban.,12,6,False,0.5744981
107,Naospital dahil sa COVID-19 tumaas,8,8,True,0.97841054
108,"Isang kahon na naglalaman ng nasa isang kilo ng pinaniniwalaang cocaine at nagkakahalagang P7 milyon ang natagpuan ng mga mangingisda na palutang-lutang sa karagatan sakop ng Rizal sa lalawigan ng Palawan, ayon sa ulat ng pulisya kahapon.",6,6,True,0.9679437
109,5 pulis escort ‘di sumipot noong itumba si Degamo,6,6,True,0.8658423
110,"Todas ang isang miyembro umano ng sindikato sa droga nang rapiduhin ito ng dalawa niyang kasama dahil sa onsehan sa droga sa bayan ng Tiaong, Quezon noong Huwebes.",6,6,True,0.97576594
111,Dinumog ng mga mamimili ang Antipolo Kadiwa Pop-Up Store na matatagpuan sa Sumulong Park.,14,0,False,0.76361173
112,96% ng SIM rehistrado na,5,5,True,0.81307375
113,Summer season idineklara ng Pagasa,8,14,False,0.68852854
114,"Ginisa vs US citizenship, libel ! Tulfo nalantad 4 bebot sa DSWD appointment",6,6,True,0.7975124
115,Tiniyak ni House Speaker Martin Romualdez na ang pagbisita sa Amerika at pakikipagpulong ni Pangulong Ferdinand ‘Bongbong’ Marcos Jr. kay US President Joe Biden ay malaking tulong sa Pilipinas.,13,13,True,0.94611204
116,"Diesel, kerosene tataas ng higit piso",0,0,True,0.9674512
117,"Naghain ng resolusyon ang mga miyembro ng Makabayan bloc upang paimbestigahan sa Kamara ang alegasyon ng kaso ng sex trafficking, rape at physical abuse ng mga babae at bata laban kay Kingdom of Jesus Christ founder Pastor Apollo Quiboloy.",6,6,True,0.57100445
118,"Linis korapsyon sa hudikatura, madugo – Escudero",12,12,True,0.613587
119,Dapat tutukan ng gobyerno ang export upang makabawi sa mataas na inflation at hindi gaanong maramdaman ng mga Pilipino ang epekto nito.,5,0,False,0.9655907
120,"May 503 bagong kaso ng COVID-19 ang naitala ng Department of Health (DOH) kaya umabot na sa 4,085,116 ang kabuuang bilang ng mga dinapuan ng virus.",8,8,True,0.9696166
121,Sino raw itong tauhan ng senador ang hindi na pinabalik sa trabaho dahil sa kakaibang trip kapag nalalasing?,12,12,True,0.5146344
122,Yvonne murder pinakakalkal sa Kamara,6,6,True,0.662827
123,Arnel Ty target barilin LPG VAT,5,0,False,0.85225624
124,Estudyante bumulaga bangkay sa rooftop,6,14,False,0.49355164
125,"P1M puslit na yosi nabisto, negosyante kalaboso",6,6,True,0.9433982
126,DepEd supervisor todas sa ambush,6,12,False,0.71135825
127,"Kasabay ng pagkumpirma na wala nang libreng sakay sa EDSA busway mula sa unang araw ng Ene¬ro, ipinahayag ni Department of Transportation (DOTr) Secretary Jaime Bautista nitong Miyerkoles na tuloy ang pagsasapribado ng gobyerno sa operasyon ng EDSA Bus Carousel service sa taong 2023.",5,1,False,0.3865517
128,"Nagkalasog-lasog ang katawan ng isang 58-anyos na lalaking pasyente ng Ospital ng Tondo matapos itong tumalon sa bintana ng ikaapat nitong palapag sa Jose Abad Santos sa Tondo, Maynila kahapon nang madaling-araw.",8,8,True,0.7975956
129,Parol ng mga PDL bumida sa Ortigas hotel,14,12,False,0.3445198
130,"Hindi na itutuloy ng Senado ang pag-imbestiga sa pagpaslang sa brodkaster na si Percival ‘Percy Lapid’ Mabasa, gayundin sa mga anomalya sa loob ng New Bilibid Prison (NBP) ayon kay Senador Ronald ‘Bato’ dela Rosa.",6,6,True,0.62133044
131,"Bumbero rumaket na tulak, bistado sa P23M shabu",6,6,True,0.9500552
132,Mga environmentalist ikinagalak pag-apruba ni PBBM sa clean and green mining,11,11,True,0.79474324
133,PCSO tutukuran problema sa malnutrisyon ng mga batang Pinoy,8,8,True,0.58730656
134,"PNP binalaan mga scammer, bilang na maliligayang araw",6,6,True,0.9608484
135,Mga cong na patok performance tinukoy sa survey ng RPMD,11,11,True,0.8746108
136,Mga Fil-Am rumampa sa protesta vs hate crime,3,11,False,0.78395426
137,Operasyon ng immigration vs mga dayuhan scam ‘yan- BI chief,6,6,True,0.9066792
138,"Kung meron man na dapat maunang bumaba sa puwesto, ito ay walang iba kundi ang nagbitiw na si Philippine National Police (PNP) chief General Rodolfo Azurin Jr. dahil sa palpak na pamumuno.",12,12,True,0.93050337
139,Tiyak na mapapasana-all ka sa mamshie na ito na nag-viral dahil sa bigating regalo ng kanyang mister para sa Mother’s day.,14,9,False,0.41859564
140,"Naghain ng panukala sina Speaker Ferdinand Martin Romualdez, Tingog party-list Representatives Yedda Marie Romualdez, at Jude Acidre para sa pagtatayo ng Special Agricultural Growth Zones (SAGZ) sa bansa.",5,5,True,0.53301835
141,"Patay ang isang lalaki matapos itong magsaksak sa sarili habang kritikal naman ang kanyang live-in partner na nauna niyang saksakin sa gitna ng kanilang away sa Calamba City, Laguna nitong Lunes.",6,6,True,0.7496626
142,Isang technical working group (TWG) ang binuo ng House Committee on Information and Communications Technology upang plantsahin ang mga panukala kaugnay ng pagpapabilis ng internet service sa bansa.,1,5,False,0.8274982
143,"Isang Pilipino ang namamatay kada araw dahil sa rabies noong 2022, batay sa datos ng Department of Health.",8,8,True,0.97294915
144,"Humingi ng paumanhin ang SMC Infrastructure sa lahat ng motoristang na aapektuhan ng matinding trapik sa ilang bahagi ng South Luzon Expressway (SLEX) Skyway, NAIAx at STAR Tollway, kahapon.",9,9,True,0.81568444
145,"Kagawad itinumba sa harap ng pamilya, 3 suspek nagpakilalang mga pulis",6,6,True,0.9653594
