Statement,Link,Date
Transport group: Ginipit nila kami! Bautista tinabla sa tigil-pasada,https://www.abante.com.ph/2023/02/28/transport-group-ginipit-nila-kami-bautista-tinabla-sa-tigil-pasada/,
Bagitong mambabatas hilig magpalibre,https://www.abante.com.ph/2023/02/28/bagitong-mambabatas-hilig-magpalibre/,
"Makati, Parañaque, Pasay 3 araw walang tubig",https://www.abante.com.ph/2023/02/28/makati-paranaque-pasay-3-araw-walang-tubig/,
‘Pinas kikita ng P8B sa durian export,https://www.abante.com.ph/2023/02/28/pinas-kikita-ng-p8b-sa-durian-export/,
Trabaho sa mga purdoy isasabatas,https://www.abante.com.ph/2023/02/28/trabaho-sa-mga-purdoy-isasabatas/,
Malaysian PM bibisita sa ‘Pinas,https://www.abante.com.ph/2023/02/28/malaysian-pm-bibisita-sa-pinas/,
P495M pondo sa NLEX-SLEX connector right-of-way nilabas,https://www.abante.com.ph/2023/02/28/p495m-pondo-sa-nlex-slex-connector-right-of-way-nilabas/,
PBBM habambuhay babayaran utang na loob sa mga Pinoy,https://www.abante.com.ph/2023/02/28/pbbm-habambuhay-babayaran-utang-na-loob-sa-mga-pinoy/,
Robin tiklop sa ConCon sa Kamara,https://www.abante.com.ph/2023/02/28/robin-tiklop-sa-concon-sa-kamara/,
BSP kumanta! Taas-presyo ng bilihin malabong maawat,https://www.abante.com.ph/2023/02/28/bsp-kumanta-taas-presyo-ng-bilihin-malabong-maawat/,
3 momshie sasabak sa Miss Universe PH,https://www.abante.com.ph/2023/02/28/3-momshie-sasabak-sa-miss-universe-ph-2/,
"Tanggal-face mask, epektibo na sa HK",https://www.abante.com.ph/2023/02/28/tanggal-face-mask-epektibo-na-sa-hk/,
230 katao tinamaan ng amoebiasis sa NegOc,https://www.abante.com.ph/2023/02/28/230-katao-tinamaan-ng-amoebiasis-sa-negoc/,
"PNP bet makipag-sanib pwersa sa PN, PCG kontra smuggling, human trafficking",https://www.abante.com.ph/2023/02/28/pnp-bet-makipag-sanib-pwersa-sa-pn-pcg-kontra-smuggling-human-trafficking/,
Bata ng ex-mayor bumulagta sa tandem,https://www.abante.com.ph/2023/02/28/bata-ng-ex-mayor-bumulagta-sa-tandem/,
"Pulis, isa pa tigok sa karambola ng 3 sasakyan",https://www.abante.com.ph/2023/02/28/pulis-isa-pa-tigok-sa-karambola-ng-3-sasakyan/,
Taguig BOSS collection pumalo sa P1.17B,https://www.abante.com.ph/2023/02/28/taguig-boss-collection-pumalo-sa-p1-17b/,
"Rianne Malixi, iba pang Pinay babalikwas sa Women’s Amateur",https://www.abante.com.ph/2023/02/28/rianne-malixi-iba-pang-pinay-babalikwas-sa-womens-amateur/,
"Nicole Quinones, Ariana Evangelista papadyak sa Thailand MTB Cup",https://www.abante.com.ph/2023/02/28/nicole-quinones-ariana-evangelista-papadyak-sa-thailand-mtb-cup/,
"San Miguel, TNT kasado sa EASL",https://www.abante.com.ph/2023/02/28/san-miguel-tnt-kasado-sa-easl/,
Tandaan n’yo ang batang ito! Judiel Nitura bagong-salta pero pasiklab agad sa Letran,https://www.abante.com.ph/2023/02/28/tandaan-nyo-ang-batang-ito-judiel-nitura-bagong-salta-pero-pasiklab-agad-sa-letran/,
"Eya Laure, Golden Tigresses susungkitin unang panalo",https://www.abante.com.ph/2023/02/28/eya-laure-golden-tigresses-susungkitin-unang-panalo/,
Squad goal! Grupo ng senglot nagja-jamming sa worship song,https://www.abante.com.ph/2023/02/28/squad-goal-grupo-ng-senglot-nagja-jamming-sa-worship-song/,
Kpop fan teacher humataw kasama mga estudyante,https://www.abante.com.ph/2023/02/28/kpop-fan-teacher-humataw-kasama-mga-estudyante/,
Marupok na mga buto? LeBron James 2 linggo garahe sa foot injury,https://www.abante.com.ph/2023/02/28/marupok-na-mga-buto-lebron-james-2-linggo-garahe-sa-foot-injury/,
