text,code_frames,label
Dumagat-Remontados opposed to Kaliwa Dam urge NCIP to defend their rights,4,3
"The number of Filipinos against changing the Constitution reached 45% which is more than those in favor of it at 41%, a Pulse Asia poll showed.",12,11
Jinggoy Estrada calls ICC probers 'white monkeys'; tells them to back off,13,12
"President Ferdinand “Bongbong” Marcos Jr. has approved the sale of seized smuggled sugar at P70 per kilo at Kadiwa centers, according to the Presidential Communications Office (PCO) on Tuesday.",13,12
"The Department of Health (DOH) on Thursday monitored an increase in COVID-19 cases in the country with 150 new infections, bringing the active tally to 9,269.",9,8
Gatchalian wants corruption issues fixed before pushing for estate tax amnesty extension,13,12
"Philippine government officials will have visa exemptions when entering Japan, Prime Minister Fumio Kishida has said.",14,13
"Sunken tanker was carrying 900K liters of industrial fuel oil, not 800K —PCG",2,1
Less than half of Philippine SIMs registered before Apr 26 deadline,6,5
"Manalo, Galvez to lead PH delegation in dialogue with US",14,13
"PH, China start two-day bilateral talks amid maritime tensions",14,13
Candaba Viaduct temporarily closed to motorists as LPG tanker catches fire,9,8
The camp of suspended Negros Oriental Representative Arnolfo “Arnie” Teves Jr. on Tuesday said they are ready to face possible cases against the lawmaker in relation to the assassination of Negros Oriental Governor Roel Degamo.,7,6
"President Ferdinand ""Bongbong"" Marcos Jr. has named Carlos Primo Constantino David as undersecretary of the Department of Environment and Natural Resources (DENR).",13,12
"A bill filed in the Senate seeks to deem an incumbent elected official resigned upon filing his or her certificate of candidacy (COC) for another elective post, including president and vice president.",6,5
"A large majority of adult Filipinos approve of the executive order allowing voluntary wearing of face masks, but most of them prefer to continue wearing masks, according to the results of the Fourth Quarter 2022 Social Weather Stations (SWS) survey.",12,11
"The number of COVID-19 vaccine wastage in the Philippines will reach 50 million by the end of March, Department of Health officer-in-charge Maria Rosario Vergeire confirmed Thursday.",2,1
SC asked to declare SIM Registration Act unconstitutional,5,4
"A total of 1,984 fire incidents have been recorded so far in the country since January, the Bureau of Fire Protection (BFP) said on Thursday.",9,8
"Pamplona Mayor Janice Degamo, the wife of slain Negros Oriental Governor Roel Degamo, on Friday claimed that up to 30 people had been killed by the camp of recently-suspended Congressman Arnolfo “Arnie” Teves Jr.",7,6
PNP aims for 3-minute response time to crime in crowded areas,8,7
Hontiveros stresses need for women leaders in gov’t to ensure ‘true’ gender equality,4,3
The Bangko Sentral ng Pilipinas (BSP) said Thursday it did not release a banknote new design or denomination.,15,14
"The maternal mortality ratio in the Philippines has been declining over the years, according to the Department of Health (DOH) on Friday.",9,8
Solon seeks Guanzon's return as P3WD party-list representative,13,12
Priest’s Santo Entierro image has cops suspecting body wrapped in plastic,7,6
The House Committee on Natural Resources this week approved a bill mandating mining operations in the country to  Kabataan party-list Representative Raoul Manuel said on Friday.,6,5
Portions of Malacanang get new look with renovations,15,14
Bill condoning farmers' loans under CARP gets Senate's final nod,6,5
"The International Criminal Court (ICC) Appeals Chamber’s rejection of the Philippine government’s appeal to suspend the probe on the Duterte administration’s drug war is an indictment of the country’s judicial system, Solicitor General Menardo Guevarra said Tuesday.",5,4
Marcos to meet with British PM on the sidelines of King Charles III coronation,14,13
