text,code_frames,label
"Senator Sherwin Gatchalian filed a civil lawsuit against former Energy Secretary Alfonso Cusi, seeking up to P16 million in damages over an alleged defamatory statement made during Cusi's time as chief of the Department of Energy (DOE).",7,6
AVOID COLLATERAL DAMAGE FROM NRA'S CAMPAIGN,15,14
"MANILA – Human immunodeficiency virus (HIV) infection must be treated like  disease that can be prevented and tended to, according to infectious disease expert Dr. Edsel Salvaña.",9,8
"MANILA, Philippines – President Ferdinand Marcos Jr. on Friday, March 10, called for poll reforms in the country during a historic summit mounted by the Commission on Elections (Comelec), focusing on the need to upgrade election technology.",2,1
Japanese Embassy in PH thanks DOJ over deportation of 4 fugitives,14,13
Cigarette Butts Found In Va. Mine,15,14
"WASHINGTON—Defense Department officer in charge Carlito Galvez and US Defense Secretary Lloyd Austin on Wednesday established the bilateral defense guidelines between the two countries to modernize the alliance cooperation ""for a free and open Indo-Pacific region.""",8,7
SC OKs transfer to Bilibid of Duterte’s frat brothers tagged in bribery case,5,4
GUN CONTROL Explain the logic in restriction argument,6,5
Calls for Gun Control From the Well-Armed,12,11
"WASHINGTON, D.C.—President Ferdinand ""Bongbong"" Marcos Jr. believes Southeast Asian countries must maintain their united front in calling for an end to the war between Ukraine and Russia.",14,13
"""Marriage is a human right, not a heterosexual privilege.''",4,3
221 police personnel in Negros Oriental replaced after Degamo slay — PRO7,7,6
750K new beneficiaries listed for 4Ps —DSWD chief Gatchalian,10,9
"MANILA, Philippines – Philippine President-elect Ferdinand Marcos on Thursday, May 26, promised to prevent any foreign interference in the running of his country, and to defend sovereign territory and stand up to any Chinese encroachment in the South China Sea.",8,7
"""They're clearly fed up with gun violence and the Daily News is performing a great public service by giving them a voice.""",12,11
Senator Jinggoy Estrada has filed a bill seeking to require public  entities (PTEs) and internet service providers (ISPs) to refund subscribers if service interruptions have accumulated at least 24 hours in a month.,6,5
three concealed handguns,8,7
Vice President and Education Secretary Sara Duterte asked students of Montessori de San Juan in San Juan City to remain grateful to the people behind their success.,3,2
Philippines joins search for Turkey earthquake survivors,14,13
MANILA – Passengers in the National Capital Region (NCR) received roses from personnel of the Department of Transportation (DOTr) in celebration of Valentine’s Day on Tuesday.,11,10
MANILA – The Philippine National Police (PNP) on Tuesday supported the call of Interior Secretary Benjamin Abalos Jr. for police officers involved in the arrest of a police sergeant who yielded 990 kilograms of shabu worth PHP6.7 billion to take a leave of absence pending investigation of the case.,7,6
HIGH-TEST TOBACCO BEING GROWN IN BRAZIL,2,1
MANILA – Two females who posed as Muslims to be able to leave the country and work abroad were recently intercepted by officers of the Travel Control and Enforcement Unit (TCEU) of the Bureau of Immigration (BI) at the Ninoy Aquino International Airport (NAIA) Terminal 3.,7,6
" federal agencies pledged to treat all couples equally,",4,3
MANILA – Immigration officers at the Ninoy Aquino International Airport (NAIA) apprehended a South Korean national who tried to leave the country using a Philippine passport.,7,6
"
SUPREMES TAKING AIM AT GUN LAW",5,4
"Army OKs court martial for Durante, 6 others over Davao model’s slay",7,6
When exactly should Matthew Shepard have reached for a concealed weapon?,8,7
Federal prosecutors tend to try drug trafficking and white-collar crime cases - not usually fodder for the death penalty.,5,4
The Marrying Kind,15,14
"A manhunt operation has been launched against former Bureau of Corrections (BuCor) chief Gerald Bantag and former BuCor deputy officer Ricardo Zulueta, the Criminal Investigation and Detection Group (CIDG) said Friday.",7,6
"MANILA, Philippines – The University of the Philippines (UP) and the Ateneo de Manila University ranked lower in the latest Quacquarelli Symonds (QS) World University Rankings released on Thursday, June 9.",15,14
"MANILA – The Philippine Charity Sweepstakes Office (PCSO) last year released more than PHP2 billion in medical assistance to more than 255,000 patient requests across the country.",9,8
Same-sex bill advances Governor's language added to ban,6,5
Students for Concealed Carry on Campus,12,11
ABS-CBN frequencies are Duterte’s ‘payback’ to Villars – Bayan Muna,13,12
Covid-19 an eye-opener to improve PH health system --- VP Duterte,9,8
"On guns, the context matters",15,14
"If people like me had been right, we should have seen the American family become radically more unstable over the subsequent decade and a half.
",11,10
"The agreement calls for the industry to pay $368 billion over 25 years in part to fund major new antismoking efforts. In return, the industry would get some protection from legal liability.",1,0
"MANILA, Philippines – Outgoing senators – those whose two consecutive terms in office have ended and those who lost their electoral bids – delivered their “graduation” or valedictory speeches on Wednesday, June 1, the final session day of the 18th Congress.",13,12
"MANILA – The Department of Public Works and Highways (DPWH) will receive over PHP495 million for the acquisition of right-of-way for the NLEX-SLEX Connector Road Project (NSCRP), the Department of Budget and Management (DBM) announced Tuesday.",2,1
EJK cases not discussed during Remulla’s meeting with UN rapporteur,13,12
"The Philippines posted 1,190 new COVID-19 cases on Thursday, as the active tally rose to 8,371.   It was the highest number of new cases in the past three days.   The nationwide COVID-19 tally is now 4,097,525, according to the latest data from the Department of Health.   The active tally went up to 8,371 from 7,565 on Wednesday.   In the past 14 days, the National Capital Region logged the highest number of new cases with 4,172. It was followed by Calabarzon with 2,038, Central Luzon with 583, Western Visayas with 505, and Davao Region with 374.",9,8
Lawyers Want Reno Barred From Death-Penalty Decision in Bombing,5,4
"DOH logs 315 new COVID-19 cases; active tally dips to 4,255",9,8
"""If David had been a woman, they would have brought him in right away,"" Compton said. ""It is those types of things that married people should realize are important to us, too.""
",4,3
"2 Chinese nationals, cohort yield P6.8-M shabu in Taguig",7,6
Duke's biblical aberration,3,2
PNP: Recent spate of ambushes on local officials isolated cases,7,6
"Department of Justice (DOJ) Secretary Jesus Crispin C. Remulla on Thursday, April 20, expressed “concerns over threats” reportedly made by Negros Oriental 3rd District Rep. Arnolfo A. Teves Jr. against the National Bureau of Investigation (NBI) for raiding last year an e-sabong or electronic cockfight establishment in Cebu.",8,7
"But NRA officials said the rule hurt gun rights.
",12,11
"MANILA, Philippines – Sugar Regulatory Administration (SRA) head David Thaddeus Alba has resigned, Malacañang confirmed on Friday, March 24, making him the second SRA administrator to resign under President Ferdinand Marcos Jr.",13,12
" He was a teen-aged Black Panther and later a journalist who spoke out against police brutality and supported MOVE, the radical black group that suffered deadly disaster in 1985 when the police bombed its compound to end a standoff with city authorities.",11,10
"He wrote a book, ""Getting Out,"" made high-profile TV appearances and pulled down hefty fees for speeches before college audiences and legal groups.
",11,10
 if they join the U.S. military.,8,7
The National Rifle Association now claims we are beset by gun violence because existing gun-control laws are being inadequately enforced.,12,11
"As Obama visits, Mexicans' view of the U.S. is improving",14,13
"Overall, the number of employed Latinos rose by almost 660,000 between the fourth quarter of 2002 and the fourth quarter of 2003. The total was 17.7 million, which included unknown numbers of illegal workers.",1,0
"MANILA, Philippines – After serving five months as the acting Bureau of Corrections chief, retired general Gregorio Capatang Jr finally received his official appointment from  President Ferdinand Marcos Jr. on Thursday, March 23",13,12
A Filipino family with young kids braved their way through the battlefield and headed towards the Egyptian border by foot in order to escape war-torn Sudan.,10,9
Polls Find Continued Support for Stricter Gun Laws and a Path to Citizenship,12,11
 Many California businesses see dollar signs in gay nuptials.,1,0
