text,gold_label,chatgpt_label,match
"Isang umano’y tinaguriang ‘shabu queen’ at lider ng sindikato sa ilegal na droga ang dinakip makaraang masabat dito ang mahigit sa P500,000 halaga ng pinaniniwalaang shabu sa buy-bust operation sa Lucena, Quezon nitong Martes.",6,6,True
Anthrax infection kumalat sa Cagayan,8,8,True
TESDA: Mga tech-voc graduate swak sa trabaho,9,1,False
Nagkamit ng unang pwesto ang isang Filipina student sa Amerika sa nagdaang English-Speaking Union (ESU) Kansas City Branch,14,14,True
NEDA inaprub tapyas taripa sa e-vehicle,5,5,True
Apat na pahinante ng isang tugboat ang nasagip ng mga tauhan ng Philippine Coast Guard (PCG) matapos itong lumubog malapit sa pier sa Surigao Del Norte kahapon nang umaga.,8,8,True
"Tinaas ng US State Department ang processing fees para sa mga non-immigrant visas, ayon sa anunsiyo ng US Embassy sa Maynila nitong Huwebes.",13,0,False
Patuloy na ipatutupad ng Archdiocese of Manila ang pagsout ng face mask sa loob ng mga simbahan.,8,2,False
Army corporal dedbol sa Cotabato ambush,6,6,True
"Bumagsak ang isang trainer aircraft ng Philippine Air Force (PAF) habang nagsasagawa ng standard training flight ang dalawang piloto nito sa San Fernando Air Base sa Lipa City, Batangas noong Lunes.",8,8,True
Kinarnap ng ‘di pa nakikilalang mga suspek ang vintage sports utility vehicle (SUV) ni Khalil Ramos.,6,6,True
"Ultra Lotto jackpot, mailap",14,14,True
Wala pa ring nakakakuha sa halos P166 milyon na jackpot prize sa Ultra Lotto 6/58.,14,14,True
"Sikyo na umastang lespu, huli sa boga",6,6,True
IMINUNGKAHI kay Pangulong Ferdinand “Bongbong” Marcos Jr. ang mas maagang pasok ng mga kawani ng gobyerno upang makatipid sa konsumo ng enerhiya.,5,5,True
"KMU, Bayan burado sa FB",12,14,False
Hiniling ng isang senador sa Movie and Television Review and Classification Board (MTRCB) na ipagbawal ang pagpapalabas ng Hollywood film ‘Plane’ sa Pilipinas dahil ipinapakita umano rito ang masamang imahen ng bansa.,5,10,False
Speaker Romualdez pinakakasa kahandaan sa ‘The big one’,8,7,False
"Todas ang isang 60-anyos na barangay chairman matapos itong ratratin ng hindi pa nakikilalang mga salarin sa  Lipa City, Batangas nitong Linggo ng madaling-araw.",6,6,True
"Bunsod ng matagal nang malabo ang tubig dala ng amihan, nagpatupad ng water service interruption ang Maynilad Water Service Incorporated sa limang barangay sa Parañaque City.",1,1,True
Umaabot sa pitong dump truck o katumbas na 24.2 tonelada ng mga basurang iniwan sa mga sementeryo sa Metro Manila ang nahakot ng Metropolitan Manila Development Authority (MMDA).,9,1,False
"Dalaga rumaket na delivery girl, tiklo sa P14M shabu",6,6,True
"Itinanghal ang Pilipinas bilang Best Dive Destination ng Diving, Resort, and Travel (DRT), isang international diving exhibition na naglalayong magbigay pagkilala, suporta, at paghikayat sa mga tao na maging passionate divers.",14,10,False
Muling inalarma ng Philippine Institute of Volcanology and Seismology (Phivolcs) ang mga residente sa paligid ng Bulkang Taal sa Batangas matapos itong yumanig ng 136 beses sa loob ng nakalipas na 24 oras.,8,8,True
Umaasa si Pangulong Ferdinand Marcos Jr. na magpapatuloy ang China sa paglalagak ng puhunan sa Pilipinas sa pamamagitan ng government-to-government cooperation at trade at infrastructure programs sa pamamagitan ng pribadong sektor.,13,13,True
BBM: Pananalig panabla sa unos ng buhay,2,2,True
"Pinalagan ng isang bahagi ng ‘Eat Bulaga’ ang mga naging pahayag ni Bullet Jalosjos, tumatayo ngayong chief finance officer ng TAPE Inc.",14,14,True
Speaker Romualdez magbibigay ng ayuda para sa Turkey quake,13,13,True
"Sakit sa puso, stroke, at kanser ang naging sanhi ng kamatayan ng halos kalahati sa mga taong pumanaw sa bansa mula Enero hanggang Nobyembre 2022.",8,8,True
Pulis timbog sa STL bookies,6,6,True
Inamin ni Senate President Juan Miguel Zubiri na inimbitahan siya ni Pangulong Ferdinand “Bongbong” Marcos Jr. na sumama sa biyahe sa Estados Unidos para sa pakikipag-usap kay President Joe Biden pero tinanggihan niya ito.,12,12,True
"Sa wakas, aayusin na Lagusnilad underpass",8,9,False
Foreman ninakawan na pinatay pa,6,6,True
DOTR Usec dinikdik ng Kongreso sa P50M kontrata,12,12,True
2 pulis sa dinukot na e-sabong agent lumutang,6,6,True
"Bato binawi contempt sa 6 pulis, pinalaya",6,6,True
"Suspek sa tsinuging beauty specialist, tukoy na",6,6,True
De Lima inurot na kasuhan si Ragos,12,6,False
Labis na ikinagalak ng pamilya ni dating Chief Justice Renato Corona ang desisyon ng Sandiganbayan na nagbabasura sa P130.59 milyong forfeiture case na isinampa laban sa kanila noong 2014.,4,4,True
Pope Francis umapela ng dasal para sa dating Santo Papa,2,2,True
"Sarhento kinustodiya, boga sumambulat sa kampo",6,6,True
Iimbitahan ng  on ways and means ang mga personalidad na iniuugnay sa large-scale smuggling ng mga produktong agrikultural sa bansa.,6,6,True
Nagpaliwanag ang Maynilad Water Services Inc. kung bakit madalas magkaroon ng water interruption ang kanilang serbisyo kumpara sa Manila Water Inc.,1,1,True
